ASVID,L_17_BH_01,L_17_BH_02,L_17_BH_03,L_17_BH_04,L_17_BH_05,L_17_BH_06,L_17_BH_07,L_17_DK_01_S1,L_17_DK_02_S1,L_17_DK_03_S1,L_17_DK_04_S1,L_17_DK_05_S1,L_17_DK_07_S2,L_17_DK_08_S2,L_17_DK_16_S4,L_17_DK_18_S4,L_17_DK_19_S4,L_17_DK_20_S4,L_17_DK_21_S4,L_17_DK_24_S5,L_17_DK_25_S5,L_17_DK_26_S5,L_17_DK_27_S5,L_17_PP_01,L_17_PP_04,L_17_PP_05,L_17_SW_01,L_17_SW_02,L_17_SW_03,L_17_SW_04,L_17_SW_05,L_17_SW_07,L_17_SW_09,L_17_SW_10,L_17_SW_11,L_17_SW_12,L_17_SW_13,Taxonomy
ASV16S_0001,28029,7631,0,0,0,0,26415,0,0,29035,45,30025,0,0,0,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae
ASV16S_0002,10138,6071,0,0,0,16614,9979,218,2042,6018,0,2448,0,0,261,0,0,0,0,7747,0,589,0,10815,1988,350,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus
ASV16S_0003,4760,2650,0,0,0,3710,5368,620,6275,11306,105,7367,15,13,873,0,0,0,0,13945,0,4405,70,6552,858,353,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta
ASV16S_0004,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4161,17022,14580,0,6,26,58,0,0,0,0,0,0,0,0,0,0,0,0,812,125,Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Fischerella PCC-9339
ASV16S_0005,1299,770,0,0,0,2100,568,0,18714,4964,0,8386,0,0,0,0,0,0,0,16714,0,533,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus
ASV16S_0006,0,0,0,0,0,60,0,0,42,0,2,1,36,0,0,0,0,0,0,0,0,0,58,0,4168,26322,0,0,0,0,0,0,0,0,0,0,0,Archaea;Thermoplasmatota;Thermoplasmata;BSLdp215
ASV16S_0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6027,2911,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,7375,5741,Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales
ASV16S_0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,11197,3575,0,2,94,3,0,0,0,0,0,0,0,0,0,0,0,0,1055,4041,Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;Chloracidobacteriaceae;Chloracidobacterium
ASV16S_0009,40,102,0,0,0,9369,406,0,0,0,0,0,0,0,48,0,0,0,0,0,0,297,152,699,1122,334,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG)
ASV16S_0010,0,0,0,0,0,0,0,21744,27,0,2858,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium
ASV16S_0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7670,2655,5502,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,62,1292,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus
ASV16S_0012,0,7430,0,0,0,0,0,0,14680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae
ASV16S_0013,692,499,161,0,0,473,395,129,10969,2232,0,1595,0,37,25,0,0,0,0,4057,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta
ASV16S_0014,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12731,0,0,Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales
ASV16S_0015,65,380,0,0,0,17097,385,0,0,0,0,46,0,0,33,0,0,0,0,0,0,851,188,235,492,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG)
ASV16S_0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802,0,0,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus
ASV16S_0017,0,0,206,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,4103,27,7122,0,6,15,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales
ASV16S_0018,0,0,0,0,0,0,0,0,0,0,0,0,3904,0,0,394,0,0,0,0,1015,10,4624,0,26,25,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;RCP1-48
ASV16S_0019,0,0,0,0,0,370,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,785,428,0,0,0,0,0,0,0,0,0,0,0,Archaea;Thermoplasmatota;Thermoplasmata;A10
ASV16S_0020,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,378,0,0,0,0,3925,0,4117,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales
ASV16S_0021,0,40,144,0,0,4373,120,0,12,0,0,1,0,0,0,0,0,0,0,0,0,296,364,34,4190,3050,0,0,0,0,0,0,0,0,0,0,0,Archaea;Thermoplasmatota;Thermoplasmata;BSLdp215
ASV16S_0022,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,283,0,0,0,0,7242,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Nitrososphaeria;SCGC AB-179-E04
ASV16S_0023,0,0,0,0,0,0,0,2540,0,0,3890,0,0,0,2194,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium
ASV16S_0025,72,140,48,0,0,10003,331,0,0,0,0,7,0,0,145,0,0,0,0,0,0,669,128,360,428,102,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium
ASV16S_0026,0,0,0,0,0,0,0,1786,0,0,3800,0,0,0,384,0,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium
ASV16S_0027,0,0,0,0,0,4362,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,46,0,403,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG)
ASV16S_0028,0,0,0,0,0,0,0,1129,0,0,2976,26,0,0,897,0,1658,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium
ASV16S_0029,0,0,0,0,0,0,0,141,0,0,121,0,0,0,6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum
ASV16S_0030,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6068,0,0,0,0,0,0,0,0,114,7,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium
ASV16S_0031,0,0,0,0,0,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,88,0,434,35,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales
ASV16S_0032,0,0,0,0,0,0,0,0,0,0,116,0,0,0,142,0,4943,57,20,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Halothiobacillales;Halothiobacillaceae;Thiofaba
ASV16S_0033,0,0,0,0,0,0,0,1092,0,0,3077,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium
ASV16S_0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium
ASV16S_0035,0,30,0,0,0,3972,165,0,4,0,0,0,0,0,184,0,0,0,0,0,0,792,118,323,470,66,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Caldisphaera
ASV16S_0036,0,0,0,0,0,362,0,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,178,38,0,0,0,0,0,0,0,0,0,0,0,Archaea;Thermoplasmatota;Thermoplasmata;A10
ASV16S_0037,0,0,0,0,0,0,0,0,0,0,0,4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae
ASV16S_0038,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4533,0,0,Bacteria;Chloroflexi;Anaerolineae;Thermoflexales;Thermoflexaceae;Thermoflexus
ASV16S_0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3321,202,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,409,319,Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Geitlerinema PCC-8501
ASV16S_0040,0,0,0,0,0,0,0,215,0,0,1135,0,0,0,2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium
ASV16S_0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2632,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,873,Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Geitlerinema PCC-8501
ASV16S_0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,3846,Bacteria;Cyanobacteria;Cyanobacteriia;Eurycoccales;Leptococcaceae;Leptococcus JA-3-3Ab
ASV16S_0043,318,114,120,75,0,0,15,18,216,24,0,92,30,72,151,0,0,0,0,514,70,137,100,9,1447,0,1210,24,0,0,0,0,419,67,5,7,0,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
ASV16S_0044,1045,872,0,0,0,2389,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,104,0,0,0,0,0,0,0,0,0,0,0,0,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta
ASV16S_0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,201,3424,Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2.1 Bac22
ASV16S_0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,162,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203,977,Bacteria;Cyanobacteria;Cyanobacteriia;Thermosynechococcales;Thermosynechococcaceae;Thermosynechococcus BP-1
ASV16S_0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,925,Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales
ASV16S_0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,162,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,1471,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rivibacter
