ASVID,Kingdom,Phylum,Class,Order,Family,Genus
ASV16S_0001,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,NA
ASV16S_0002,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Acidilobaceae,Acidilobus
ASV16S_0003,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
ASV16S_0004,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella PCC-9339
ASV16S_0005,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Acidilobaceae,Acidilobus
ASV16S_0006,Archaea,Thermoplasmatota,Thermoplasmata,BSLdp215,NA,NA
ASV16S_0007,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,NA,NA
ASV16S_0008,Bacteria,Acidobacteriota,Blastocatellia,Chloracidobacteriales,Chloracidobacteriaceae,Chloracidobacterium
ASV16S_0009,Archaea,Crenarchaeota,Nitrososphaeria,Caldiarchaeales,Terrestrial Hot Spring Gp(THSCG),NA
ASV16S_0010,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0011,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus
ASV16S_0012,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,NA
ASV16S_0013,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
ASV16S_0014,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA
ASV16S_0015,Archaea,Crenarchaeota,Nitrososphaeria,Caldiarchaeales,Terrestrial Hot Spring Gp(THSCG),NA
ASV16S_0016,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosocaldales,Nitrosocaldaceae,Candidatus Nitrosocaldus
ASV16S_0017,Archaea,Crenarchaeota,Thermoprotei,Geoarchaeales,NA,NA
ASV16S_0018,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,RCP1-48
ASV16S_0019,Archaea,Thermoplasmatota,Thermoplasmata,A10,NA,NA
ASV16S_0020,Archaea,Crenarchaeota,Thermoprotei,Geoarchaeales,NA,NA
ASV16S_0021,Archaea,Thermoplasmatota,Thermoplasmata,BSLdp215,NA,NA
ASV16S_0022,Archaea,Crenarchaeota,Nitrososphaeria,SCGC AB-179-E04,NA,NA
ASV16S_0023,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0025,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium
ASV16S_0026,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0027,Archaea,Crenarchaeota,Nitrososphaeria,Caldiarchaeales,Terrestrial Hot Spring Gp(THSCG),NA
ASV16S_0028,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0029,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum
ASV16S_0030,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium
ASV16S_0031,Archaea,Crenarchaeota,Thermoprotei,Geoarchaeales,NA,NA
ASV16S_0032,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,Thiofaba
ASV16S_0033,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0034,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium
ASV16S_0035,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Acidilobaceae,Caldisphaera
ASV16S_0036,Archaea,Thermoplasmatota,Thermoplasmata,A10,NA,NA
ASV16S_0037,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,NA
ASV16S_0038,Bacteria,Chloroflexi,Anaerolineae,Thermoflexales,Thermoflexaceae,Thermoflexus
ASV16S_0039,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Geitlerinema PCC-8501
ASV16S_0040,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0041,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Geitlerinema PCC-8501
ASV16S_0042,Bacteria,Cyanobacteria,Cyanobacteriia,Eurycoccales,Leptococcaceae,Leptococcus JA-3-3Ab
ASV16S_0043,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
ASV16S_0044,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
ASV16S_0045,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes VC2.1 Bac22,NA,NA
ASV16S_0046,Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Thermosynechococcus BP-1
ASV16S_0047,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,NA,NA
ASV16S_0048,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rivibacter
ASV16S_0051,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter
ASV16S_0052,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Sulfurihydrogenibium
ASV16S_0053,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfurimicrobium
ASV16S_0054,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
ASV16S_0055,Archaea,Crenarchaeota,Nitrososphaeria,Caldiarchaeales,Caldiarchaeaceae,Candidatus Caldiarchaeum
