ASV,L_17_BH_01,L_17_BH_02,L_17_BH_03,L_17_BH_04,L_17_BH_05,L_17_BH_06,L_17_BH_07,L_17_DK_01_S1,L_17_DK_02_S1,L_17_DK_03_S1,L_17_DK_04_S1,L_17_DK_05_S1,L_17_DK_07_S2,L_17_DK_08_S2,L_17_DK_16_S4,L_17_DK_18_S4,L_17_DK_19_S4,L_17_DK_20_S4,L_17_DK_21_S4,L_17_DK_24_S5,L_17_DK_25_S5,L_17_DK_26_S5,L_17_DK_27_S5,L_17_PP_01,L_17_PP_02,L_17_PP_04,L_17_PP_05,L_17_SW_01,L_17_SW_02,L_17_SW_03,L_17_SW_04,L_17_SW_05,L_17_SW_07,L_17_SW_09,L_17_SW_10,L_17_SW_11,L_17_SW_12,L_17_SW_13
ASV18S_0001,0,0,0,0,0,0,0,738,0,0,39,0,15823,0,1042,37025,9169,5313,130,0,10813,594,37215,0,0,2,415,2,0,0,0,0,0,0,0,0,0,3
ASV18S_0002,0,0,0,0,0,0,0,102,0,0,207,0,9330,0,1206,26622,6341,3277,33,0,7510,842,41298,0,0,0,219,0,3,0,0,0,0,0,0,0,0,0
ASV18S_0003,0,0,0,0,0,0,0,3840,0,0,3574,0,0,0,0,0,0,0,0,0,0,0,0,1765,0,24306,11539,0,0,0,0,0,0,0,0,0,0,0
ASV18S_0004,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,28379,4410,0,0,0,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ASV18S_0005,379,565,1711,426,5720,2413,1075,12,349,1396,243,184,0,1026,730,0,0,0,0,24,87,1367,24,244,7,11,0,585,87,1483,27,314,460,304,150,1559,42,0
ASV18S_0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4977,10983
ASV18S_0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,7220,8568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV18S_0008,145,0,0,14,0,0,1983,21,123,0,157,0,174,0,0,6,0,31,0,0,117,0,898,0,5,1646,10359,0,0,0,0,0,0,0,0,0,0,0
ASV18S_0009,0,0,10536,56,0,3,0,880,0,1938,424,0,0,0,0,0,18,37,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV18S_0010,0,0,0,0,0,0,804,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10519,0,0,0,0,0,0,0,0,12,0
