ASVID,Kingdom,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species
ASV18S_0001,Eukaryota,Archaeplastida,Rhodophyta,Rhodophyta_X,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidioschyzon,Cyanidioschyzon_merolae
ASV18S_0002,Eukaryota,Archaeplastida,Rhodophyta,Rhodophyta_X,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidioschyzon,Cyanidioschyzon_merolae
ASV18S_0003,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,NA
ASV18S_0004,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,NA,NA
ASV18S_0005,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Penicillium,NA
ASV18S_0006,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,Fumarolamoeba,Fumarolamoeba_ceborucoi
ASV18S_0007,Eukaryota,TSAR,Alveolata,Ciliophora,Colpodea,Colpodea_X,NA,NA,NA
ASV18S_0008,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_V,Vahlkampfiidae_V,Tetramitus,Tetramitus_thermacidophilus
ASV18S_0009,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Columnosphaeria,Columnosphaeria_fagi
ASV18S_0010,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA
ASV18S_0011,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Cryptococcus,NA
ASV18S_0012,Eukaryota,Obazoa,Opisthokonta,Metazoa,Nematoda,Chromadorea,Haliplectoidea,Rhabdolaimus,NA
ASV18S_0013,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Hydrurales,Hydruraceae,Hydrurus,Hydrurus_foetidus
ASV18S_0014,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,NA,NA
ASV18S_0015,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,NA,NA
ASV18S_0016,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,NA,NA,NA,NA
ASV18S_0017,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_V,Vahlkampfiidae_V,Vahlkampfia,Vahlkampfia_avara
ASV18S_0018,Eukaryota,TSAR,Alveolata,Ciliophora,Litostomatea,Rhynchostomatia,Dileptidae,NA,NA
ASV18S_0019,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Collembola,NA,NA
ASV18S_0020,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,NA,NA
ASV18S_0021,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_III,Vahlkampfiidae_III,Naegleria,NA
ASV18S_0022,Eukaryota,TSAR,Alveolata,Ciliophora,Colpodea,Colpodea_X,Platyophryida,NA,NA
ASV18S_0023,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,NA,NA
ASV18S_0024,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
ASV18S_0025,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Culicoides,Culicoides_variipennis
ASV18S_0026,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA
ASV18S_0027,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA
ASV18S_0028,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,NA,NA
ASV18S_0029,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,NA,NA
ASV18S_0030,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,NA
ASV18S_0031,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,NA,NA
ASV18S_0032,Eukaryota,Amoebozoa,Evosea,Evosea_X,Variosea,Flamellidae,ATCC50593-lineage,ATCC50593-lineage_X,ATCC50593-lineage_X_sp.
ASV18S_0033,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
ASV18S_0034,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA
ASV18S_0035,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA
ASV18S_0036,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,NA,NA,NA
ASV18S_0037,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,NA,NA
ASV18S_0038,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,NA,NA
ASV18S_0039,Eukaryota,Obazoa,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Prismatolaimus,Prismatolaimus_dolichurus
ASV18S_0040,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
ASV18S_0041,Eukaryota,Obazoa,Opisthokonta,Metazoa,NA,NA,NA,NA,NA
ASV18S_0042,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA
ASV18S_0043,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,NA,NA
ASV18S_0044,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,NA,NA,NA
ASV18S_0045,Eukaryota,Amoebozoa,Discosea,Discosea_X,Centramoebia,Acanthopodida,Acanthamoebidae,Protacanthamoeba,Protacanthamoeba_sp.
ASV18S_0046,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,NA
ASV18S_0047,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA
ASV18S_0048,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Davidiella,Davidiella_tassiana
ASV18S_0049,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA
ASV18S_0050,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,NA,NA
ASV18S_0051,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA
ASV18S_0052,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA
ASV18S_0053,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_III,Vahlkampfiidae_III,Naegleria,NA
ASV18S_0054,Eukaryota,Amoebozoa,Discosea,Discosea_X,Flabellinia,Flabellinia_X,LKM74-lineage,LKM74-lineage_X,LKM74-lineage_X_sp.
ASV18S_0055,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,NA,NA
ASV18S_0056,Eukaryota,Archaeplastida,Rhodophyta,Rhodophyta_X,Bangiophyceae,Cyanidiales,Cyanidiales_X,Galdieria,NA
ASV18S_0057,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA
ASV18S_0058,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Heterobasidion,Heterobasidion_parviporum
ASV18S_0059,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
ASV18S_0060,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chloromonas,NA
ASV18S_0061,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,NA,NA,NA
ASV18S_0062,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,NA,NA,NA
ASV18S_0063,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Malassezia,NA
ASV18S_0064,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,NA,NA
ASV18S_0065,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
ASV18S_0066,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA
ASV18S_0067,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Gryllus,Gryllus_assimilis
ASV18S_0068,Eukaryota,Archaeplastida,Rhodophyta,Rhodophyta_X,Bangiophyceae,Cyanidiales,Cyanidiales_X,Galdieria,NA
ASV18S_0069,Eukaryota,TSAR,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,NA,NA
ASV18S_0070,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
